Artist,Title,Location,Date,Sold,Selling Price,low_estimate,high_estimate,Category,Auction Name,Image
Christian Bérard,Etudes De Personnages,Paris,2021,True,4895.54,1665.15,2220.2,Old Masters,"Collection Pierre Le-Tan, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/a6c4e26/2147483647/strip/true/crop/1440x2000+0+0/resize/2048x2844!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F90%2F3a%2F8e1b2e5141e3929fb6d26e91ce0f%2F0742pf2137-blnjv-01.jpg
Christian Bérard,Portrait De René Crevel,Paris,2021,True,3916.43,1110.1,1665.15,Old Masters,"Collection Pierre Le-Tan, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/70c78d0/2147483647/strip/true/crop/1526x2000+0+0/resize/2048x2684!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fa8%2F5e%2F2be310184ad7a2007ae1d3462bcb%2F0806pf2137-blwfh-01.jpg
Christian Bérard,Scène De Théâtre,Paris,2021,True,9091.72,1665.15,2220.2,Old Masters,"Collection Pierre Le-Tan, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/a2e9233/2147483647/strip/true/crop/1718x2000+0+0/resize/2048x2384!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fd7%2F3c%2F8ff68e814bcb8eed3d5c7763cf31%2F0751pf2137-blnpn-01.jpg
Circle Of Robert Peake ,"Portrait Of A Girl, Half-Length, In A Lace Cap And Ruff",London,2019,True,42648.21,10498.02,15747.03,Old Masters,Spetchley - Property from the Berkeley Collection,https://sothebys-md.brightspotcdn.com/dims4/default/962a8f6/2147483647/strip/true/crop/1593x2000+0+0/resize/2048x2571!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fce%2Fc7%2Fa2175da6446b80b5c4808bd2b4c4%2Fl19359-104-web.jpg
Circle Of Robert Peake ,"Portrait Of Sir Edward Pytts Of Kyre Wyard And Sheriff Of Worcestershire And His Grandson, Edward Pytts, Both Full-Length, The Former In A Black Doublet And Hose With A Dog At His Feet, The Latter In A Richly Embroidered Red And White Dress, Holding A Sword",London,2019,True,131225.25,104980.2,157470.3,Old Masters,Old Masters Day Sale,https://sothebys-md.brightspotcdn.com/dims4/default/b8f93f1/2147483647/strip/true/crop/1160x2000+0+0/resize/2048x3531!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F09%2F74%2F41b1efe74d369e3805c0111b6844%2F081l19037-b8jht.jpg
"Continental School, 19Th Century ",A Sheet Of Seashell Studies,New York,2020,True,3500.0,1500.0,2000.0,Old Masters,Mario Buatta: Prince of Interiors,https://sothebys-md.brightspotcdn.com/dims4/default/29b703f/2147483647/strip/true/crop/2000x2000+0+0/resize/2048x2048!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fe8%2Fdd%2Fcca31c6a4934998d9cf1722d22b0%2Fn10304-489-web.jpg
"Continental School, 19Th Century ",A Sheet Of Tulip Studies,New York,2020,True,2125.0,1000.0,1500.0,Old Masters,Mario Buatta: Prince of Interiors,https://sothebys-md.brightspotcdn.com/dims4/default/c11357c/2147483647/strip/true/crop/2000x2000+0+0/resize/2048x2048!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F99%2F00%2Fcda9628741bbb69ff1639cabc204%2Fn10304-136-web.jpg
Domenico Beccafumi,"The Madonna, Saint Joseph, The Infant Baptist And An Angel Adoring The Infant Christ: The “Feigen Adoration”",New York,2021,True,340200.0,300000.0,500000.0,Old Masters,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen",https://sothebys-md.brightspotcdn.com/dims4/default/03c5892/2147483647/strip/true/crop/1411x2000+0+0/resize/2048x2903!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fb3%2F22%2Feba893aa4a419c38f36d3f5158fb%2F056n10762-byf35-02.jpg
Domenico Beccafumi,The Virgin And Child With Saints Lawrence And Catherine Of Alexandria,London,2021,True,363756.39,262450.5,393675.75,Old Masters,Old Masters Evening Sale,https://sothebys-md.brightspotcdn.com/dims4/default/2bc9cb8/2147483647/strip/true/crop/1527x2000+0+0/resize/2048x2682!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F8e%2F68%2Fa8f6be9f4da69eb67382ab07acdf%2Fl21033-bvbyl-02-new-frame-01.jpg
Domenico Gnoli,Cavalier Sur Cheval Rétif,Paris,2021,True,4895.54,3330.3,5550.5,Old Masters,"Collection Pierre Le-Tan, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/10103f4/2147483647/strip/true/crop/1558x2000+0+0/resize/2048x2629!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F04%2F9d%2F30ba4c174c27995b30e5c0a43064%2F0332pf2137-blvw3-01.jpg
Domenico Gnoli,Ville Imaginaire,Paris,2021,True,83923.56,33303.0,55505.0,Old Masters,"Collection Pierre Le-Tan, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/d0b0563/2147483647/strip/true/crop/1443x2000+0+0/resize/2048x2839!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fd2%2F1c%2F0f2771a84a30bf0051bae7546464%2F0175pf2137-blnk5-01.jpg
"Doménikos Theotokopoulos, Called El Greco And Workshop",Saint Francis In Ecstasy,New York,2022,True,1169500.0,600000.0,800000.0,Old Masters,Master Paintings & Sculpture Part I,https://sothebys-md.brightspotcdn.com/dims4/default/9d37db4/2147483647/strip/true/crop/1434x2000+0+0/resize/2048x2856!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F3a%2Ff2%2F9a4f1f8a483382b084162e88127b%2F010n10901-bh55p-01.jpg
